N,P,K,temperature,humidity,ph,rainfall,label,yield_t_ha
79.47653872898609,42.622441899407846,15.504079621085673,27.781308897494807,76.46449707061893,7.083929581096948,233.58853383831197,jute,2.9
135.43986930853725,38.715073703491605,15.286567602418826,21.36097855975609,82.75641666387794,6.499944431504018,101.66784287166705,cotton,3.7
17.28036129536839,59.505796101659016,20.97447454544682,27.945282030323412,74.27672574948112,6.957505857243435,44.729343507057195,lentil,5.83
49.329851600329754,60.86176422418964,53.667803035722685,35.11275928506276,93.23943977747072,7.353843539531706,208.7660732025301,papaya,6.46
89.21150672930692,48.43472055119351,37.20991978491969,25.998850601470366,77.12304560331427,6.427866195528374,168.6180872850733,jute,5.57
98.67778260669786,27.123434654662805,17.100472468774942,17.521320421495425,54.64254819423275,6.78041339368926,50.64597597376218,maize,5.81
102.89798529080771,33.48551146982335,66.35657985532102,24.784813054566996,86.22217673989509,5.99007775389085,43.21130045085215,watermelon,2.07
51.01217600139088,43.994310276758156,58.75306326020403,36.404058059782685,94.43494758436749,6.866290203991915,139.0156817359257,papaya,5.85
35.79298592669387,137.5625097907221,159.3526993156376,22.906593385054173,83.67099471585882,5.449896207607524,46.32016080726087,grapes,2.51
111.67766044568002,101.26157042768347,31.91329015539274,25.32984630642851,82.14380629440382,6.308185438274891,159.83623875720963,banana,2.35
43.16097196359216,61.44218724462257,59.31970987205348,35.3185021477992,95.42948546070255,7.1021304102665255,157.91245823009606,papaya,5.15
82.02818312950018,6.230294054878996,13.038214062851907,26.822512311811348,67.745080408135,6.861937401893607,37.36367715734609,maize,4.1
0.0,1.6551945140860673,23.52522652164096,27.922829815076177,33.48107777853087,6.188721873990681,85.00573721392357,mango,1.86
34.44612570710552,133.95507596485757,178.54994538145635,21.369056020580267,89.7978641271972,5.553307956017439,123.82960168178856,apple,4.21
155.1518175329933,19.678298735380068,17.188884256681668,26.471076716528305,79.91251327172448,6.767300883160025,79.73422104254708,cotton,3.73
44.373292240450176,60.60359831826481,36.2301150191147,31.762421782388152,100.0,6.215650386752933,154.24798605343045,papaya,4.27
73.48500570380915,55.700249245855794,29.797016697810655,19.66656811109061,65.30873552181626,6.927809345040559,95.98543150037999,maize,5.01
